coffee,origin,flavour,region,variety,process,roast,roaster,roaster_name
4 Llamas Geisha,Bolivia,"       Tangerine, green apple, jasmine raspberry chocolate red fruit silky light",,,others,medium,,
Don Martin Geisha Enano,Costa Rica,"       Strawberry, clementine, honeysuckle wild strawberry balsamic vivid wild and intense",,,others,medium,,
Fazenda Santuàrio Sul Yirgacheffe,Brazil,"       Blueberry, hazelnut, bergamot roasted almonds Soft reminiscent of pear full creamy and nutty",,,others,medium,,
El Diviso Sidra,Colombia,"       Apricot, candied ginger, nougat Lactic acid Creamy",,,others,medium,,
Santa Eduviges Laurina,not disclosed,"       Malt, orange, white chocolate cookie mild delicately creamy",,,others,medium,,
Simbi Natural,Rwanda,"       Strawberry, mango, maple syrup blueberry red berries coating juicy",,,others,medium,,
Bella Vista,Colombia,"       White chocolate, almond, pear milk chocolate pear silky sweet",,,others,medium,,
La Toma,Colombia,"       Honeydew melon, milk chocolate, orange blossom cane sugar juicy lively silky full",,,others,medium,,
La Granada 96h,Colombia,"       Caramel, passion fruit, orange orange juice citrusy and bright juicy lingering and sparkling",,,others,medium,,
Decaf,Colombia,"       Ripe fig, Brown sugar, Dark chocolate not disclosed",,,others,medium,,
Spring Bloom,not disclosed,"       White chocolate, melon, orange blossom not disclosed",,,others,medium,,
"Specialty coffee ""Nicaragua Maragogype",Nicaragua," Honey, caramel, spices",Matagalpa,Maragogype,others,medium,,
"Varietal Coffee Beans ""DR Congo Kivu",DR Congo," Marzipan, dried dates, dark chocolate",Kivu,Bourbon,others,dark,,
"Specialty coffee ""Papua New Guinea Sigri",Papua New Guinea," Gingerbread, black tea, honey",Wahgi Valley,Caturra,others,medium,,
"Specialty Coffee ""El Salvador Santa Petrona",El Salvador ," Marzipan, chocolate, lemon peel",Santa Ana  ,Pacamara,others,medium,,
"Specialty coffee ""Ethiopia Burtukaana",Ethiopia," Rhubarb, blueberry, vanilla",Guji,Heirloom,others,medium,,
"Specialty Coffee ""Jamaica Blue Mountain",Jamaica ," Tamarind, orange, milk chocolate","Clydesdale, Blue Mountains",Blue Mountain,others,medium,,
"Varietal coffee beans ""Kopi Luwak",Honduras," Chocolate, hazelnut, caramel",Zentral-Java,Typica,others,medium,,
"Specialty Coffee ""Ethiopia Yirgacheffe",Ethiopia," Blueberry, Blackcurrant, Vanilla",Yirgacheffee,Heriloom,others,medium,,
"Specialty coffee ""Indonesia Sumatra",Indonesia," Red wine, brown sugar, cinnamon","Sumatra, Aceh, Gayo","Tim tim, Ateng",others,dark,,
