coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
Peruvian Café Femenino,Peru,Quirky Coffee Co,CaturraBourbonCatuai,Washed,Medium,Chocolate Dark  Chocolate Sweet Floral Berry Cherry
La-Azucena-Espresso,Colombia,Pact,Castillo,Washed,Medium,Caramelized Vanilla
Filter - Coffee Bundle 4 X 230g,China,Carnival,BourbonRobiaceae CoffeaCatimor / AtengJackson,Washed,Light,Caramelized Honey Rose Jasmine Floral Blueberry Pomegranate Grape Apple Pear Orange Lemon Lime Fresh
Colombia | Finca El Mirador,Rwanda,Roost,Bourbon,Washed,Medium Dark,Cocoa Molasses Floral
Indian Monsooned Malabar Aa Green Coffee Beans,Ethiopia,Rave,Typica,"Natural, Monsooned",Green,Roasted
Brazillian Lo Caff 50% Swiss Water Decaffeinated Arabica Roasted Coffee,Colombia,White Rose,BourbonCatuai,"DecafWashed, Swiss Water",Dark,Nutty Vanilla Sweet
Organic Dark(ish) Roast,Guatemala,Exhale,Castillo,Washed,Light,Cinnamon Maple  Syrup Vanilla Sweet Cherry Other  Fruit
La Pedregosa,India,Pact,Ethiopia / Sudan AssesionGimmaRobiaceae Coffea,Natural,Medium,Cherry Other  Fruit Lemon
Ethiopia Djimmah,Brazil,Roastery Hope Coffee,Ethiopia / Sudan AssesionColombiaTypicaAcaia,Honey,Dark,Roasted Nutmeg Floral Citrus  Fruit Medicinal
Polar Espresso,Mexico,Bristol Twenty,ColombiaArabicaAcaia,"DecafWashed, Swiss Water", Dark,Nutmeg Cinnamon Spices Chocolate Sweet Citrus  Fruit
La Selva (rainforest Alliance),Colombia,Bristol Twenty,Arabica,Washed,Dark,Cocoa Caramelized Sweet Citrus  Fruit Fruity
Peru Espresso Roast,Ethiopia,Sendero,ColombiaCaturraTypica,"DecafWashed, Swiss Water",Dark,Chocolate Berry
"Eden,  Blend",Colombia,Cast Iron,Ethiopia / Sudan AssesionCaturraMundo NovoBourbonTypicaArabicaCatimor / Ateng,Washed, Dark,Roasted Chocolate Molasses Caramelized Honey Vanilla Sweet Fruity
Guatemala Huehuetenango,India,Naked Roaster,Typica,Washed,Dark,Almond Nutty Dark  Chocolate Cocoa Sweet
Signature Espresso Blend,Ethiopia,Decadent Decaf,CaturraPache ComumBourbonTypica,Washed,Medium,Cocoa Vanilla
Old Brown Java Arabica Roasted Coffee,Brazil,White Rose,BourbonTypica,Honey,Medium,Tobaco Spices Chocolate Maple  Syrup Woody Bitter
Machu Picchu – Swiss Water Decaf – Nespresso Compatible Pods,Honduras,Bristol Twenty,Caturra,Washed,Medium,Pomegranate Pineapple Other  Fruit Lemon Lime Citrus  Fruit Fruity
Rwanda Agaciro,Colombia,Roastery Hope Coffee,Arabica,"DecafWashed, Swiss Water",Medium,Roasted Fruity
Colombia Narino Microlot - Finca El Eucalipto,Peru,Roastery Hope Coffee,Castillo,Washed,Medium,Chocolate Honey Sweet Berry Dried  Fruit Other  Fruit Fruity
Kenya Wanjegi Aa Coffee,Peru,York Emporium,Arabica,Wet Hulled,Medium,Vanilla Raspberry Lemon
"Yenni Esperanza, Colombia, Cata'S Profile",Colombia,Girls Who Grind Coffee,Arabica,Honey,Green,Cereal Cinnamon Nutty Brown  Sugar Sweet Floral Blueberry Lemon Citrus  Fruit Fruity
Brazilian Mió Lot 1930,Guatemala,Wogan Coffee,Colombia,"DecafWashed, Mountain Water",Dark,Nutty Maple  Syrup Honey Sweet Grape
Phil-Ter:  Blend,Indonesia,Hasbean,ColombiaCaturra,Washed,Medium,Caramelized Overall  Sweet Raspberry
House Espresso,Rwanda,Pact,Hybrido de Timor,Washed,Light,Chocolate
"Excelso Decaf, Colombia",Papua New Guinea,Cast Iron,Mundo NovoCatuai,Washed,Medium,Chocolate Brown  Sugar Fruity
Mandela Hybrid Washed Colombia,Ethiopia,Cast Iron,Mundo NovoCaturraBourbonTypicaCatuai,Natural,Medium,Vanilla Sweet Peach Lemon
Sumatra | Burni Telong,Indonesia,Roost,Arabica,Honey,Medium Dark,Pepper Spices Dark  Chocolate Prune Grapefruit
Brazil | Palmital,Mexico,Roost,Robiaceae Coffea,"DecafWashed, Swiss Water",Green,Nutty Caramelized Sweet
Decaf - Mexican Mountain Water,Peru,Roastery Hope Coffee,BourbonRobiaceae CoffeaCatuaiRobusta,Wet Hulled,Medium,Roasted Nutty  Cocoa Brown  Sugar Vanilla Sweet Apple Lemon
Goodnight Chamomile,Honduras,CLO,CaturraTypicaCatuai,Washed,Medium Dark,Chamomile Rose
Peru Tunki Coffee,Rwanda,York Emporium,Ethiopia / Sudan AssesionRobiaceae Coffea,Natural,Medium,Dark  Chocolate Orange
King Canute – Ethiopia,Colombia,Seven Districts,Mundo NovoBourbonArabica,Honey,Medium,Spices Caramelized Sweet Floral Floral Lemon Fermented Bitter
Green Indonesia Coffee Beans 900g,Kenya,Art & Coffee,CaturraBourbonTypicaArabicaCatuai,Washed, Dark,Roasted Nutty
Con Vivo,Colombia,Wogan Coffee,BourbonCatimor / AtengHybrido de Timor,Natural,Medium,Cereal Nutty Chocolate Vanilla Sweet
Bolivia | San Juan Coop,Brazil,Roost,Arabica,"DecafWashed, Sugarcane (E.A.)",Medium,Dark  Chocolate Berry Raisin Citrus  Fruit
Ethiopian Yirgacheffe Natural Tadese Teko Arabica Roasted Coffee,Colombia,White Rose,Castillo,Honey,Medium Dark,Spices Other  Fruit Fruity Overripe
Brazilian – Mio – Lot 1990,Colombia,Bristol Twenty,Arabica,Washed,Medium,Chocolate Vanilla Berry Cherry
Guatamala Acatenango,Indonesia,Decadent Decaf,CaturraObataCatuai,Natural,Medium,Chocolate Vanilla Sweet Raisin Orange
Organic Sumatra Mandheling,Brazil,Quirky Coffee Co,ColombiaArabica,Washed,Medium,Spices Chocolate Vanilla Dried  Fruit
Premium Coffee Blend (kandinsky),Mexico,Art & Coffee,Topázio,Washed,Medium Dark,Nutty Chocolate Sweet Berry Bitter
Mustafa By Ana Mustafa - Colombia Washed,Peru,Chipp Coffee,CastilloColombiaCaturraTypica,Washed,Medium,Roasted Vanilla Sweet Whiskey
