,coffee,cr_rating,coffee_origin,roaster,roaster_location,roast_level,aroma,acidity_structur,body,flavor,agtron,review,review_date,price_estimate
0,Kenya,95,"Nyeri growing region, south-central Kenya",CafeTaster,"Taipei City, Taiwan",Medium-Light,9,9,9,9,62/77,"Nuanced, multi-layered. Almond brittle, pomegranate, dark chocolate, narcissus, lemon-thyme in aroma and small cup. Sweetly savory with juicy acidity; syrupy-smooth, vibrant mouthfeel with. Resonant, long, flavor-saturated finish.",August 2022,NT $600/227 grams
1,Peru,92,"Cusco Province, Peru",CafeTaster,"Taipei City, Taiwan",Medium-Light,8,8,9,9,58/77,"Rich-toned, chocolaty. Baking chocolate, cashew butter, date, magnolia, orange zest in aroma and cup. Sweet-toned with gentle, round acidity; very full, creamy mouthfeel. Finish consolidates to notes of crisp baking chocolate and cashew.",August 2022,NT $500/227 grams
2,San Jose Mexico,93,"oatepec, Veracruz State, Mexico",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,8							,9,8,57/77,"Evaluated as espresso. Richly chocolaty, deeply sweet. Crisp apple, dark chocolate, hazelnut, fresh-cut oak, agave syrup in aroma and small cup. Velvety-smooth mouthfeel; chocolaty, nutty finish. In three parts milk, both chocolate and nut tones are amplified, while fruit falls back to a supporting role.",August 2022,$17.00/12 ounces
3,Bella Carmona Guatemala,93,"Antigua growing region, Guatemala",JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,9,8							,9,8,60/78,"Evaluated as espresso. Caramel, almond butter, yellow plum, orange zest, cedar in aroma and small cup. Crisp, satiny mouthfeel; richly nut-driven finish. In three parts milk, almond and caramel tones commingle, supported by plum and cedar.",August 2022,$17.00/12 ounces
4,Karen J Kona Red Bourbon,96,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Hula Daddy Kona Coffee,"Holualoa, Hawai’i",Medium-Light,10,9,8,10,58/78,"Deep-toned, complexly layered, vibrantly aromatic. Black cherry, honeysuckle, cocoa nib, sugar cane, lemon balm in aroma and cup. Richly bittersweet structure with tart, juicy acidity; crisp, satiny mouthfeel. Very long, nuanced, resonant finish.",August 2022,$49.95/8 ounces
5,Nicaragua La Bastilla Estate Anaerobic,93,"Jinotega, Nicaragua",RamsHead Coffee Roasters,"Bozeman, Montana",Medium-Light,9,9,8,9,57/74,"Deeply lactic-sweet, rich-toned. Bubblegum, rhododendron, cocoa nib, fresh leather, grape candy in aroma and cup. Richly bittersweet structure with tangy, lactic acidity; delicate, lightly syrupy mouthfeel. The sweet, long finish consolidates to notes of bubblegum and cocoa nib with undertones of rhododendron.",August 2022,$17.50/12 ounces
6,Ethiopia Worka Sakaro,95,"Gedeb District, Gedeo Zone, southern Ethiopia",Red Rooster Coffee Roaster,"Floyd, Virginia",Medium-Light,9,9,9,9,60/78,"Sweetly tart, fruit-driven, chocolaty. Berry melange, dark chocolate, freesia-like flowers, cedar, pink peppercorn in aroma and cup. Brightly sweet with vibrant, high-toned acidity; lively, syrupy mouthfeel. Long, lingering, flavor-saturated finish, juicy and bright.",August 2022,$22.00/12 ounces
7,Colombia Geisha,94,"Planadas, Tolima, Colombia",Jaunt Coffee Roasters,"San Diego, California",Medium-Light,9,9,9,9,58/76,"Richly fruit- and floral-toned. Dried plum, plumeria, dark chocolate, amber, lemon-thyme in aroma and cup. Sweet-tart with balanced, fruity acidity; very full, syrupy mouthfeel. The resonant finish centers around notes of plum, plumeria and dark chocolate.",August 2022,$24.00/8 ounces
8,Ethiopia Guji Hambela Dabaye,93,"Guji Zone, Oromia Region, Ethiopia",Jaunt Coffee Roasters,"San Diego, California",Medium-Light,9,9,8,9,62/78,"Delicately aromatic, richly sweet. Narcissus, honey, apricot, almond, Meyer lemon zest in aroma and cup. Sweetly tart structure with gently bright, floral acidity; smooth, silky mouthfeel. The finish consolidates to notes of honey and almond with undertones of narcissus.",August 2022,$22.00/12 ounces
9,Colombia Don Ruiz Anaerobic,95,"Caldas, Colombia",Roadmap CoffeeWorks,"Lexington, Virginia",Medium-Light,9,9,9,9,60/78,"Elegantly fruit-toned, very juicy. Ripe peach, dark chocolate, blueberry jam, almond butter, a hint of wine barrel in aroma and cup. Sweetly tart structure with bright, malic acidity; very smooth, syrupy mouthfeel. Integrated, harmonious, long finish.",August 2022,$28.50/12 ounces
10,Colombia FUDAM Nariño,94,"La Union, Nariño, Colombia",Roadmap CoffeeWorks,"Lexington, Virginia",Light,9,9,9,9,62/80,"High-toned, richly sweet-tart. Red plum, almond nougat, marjoram, cedar, star jasmine in aroma and cup. Brightly sweet with high-toned acidity; syrupy-smooth mouthfeel. The finish leads with notes of star jasmine, rounding to almond nougat in the long.",August 2022,$18.50/12 ounces
11,Peru Walther Acuna,91,"La Coipa, Cajamarca, Peru",Roadmap CoffeeWorks,"Lexington, Virginia",Medium-Light,8,8,9,9,59/76,"Crisply sweet, delicately aromatic. Fig Newton, magnolia, hazelnut, fresh-cut fir, agave syrup in aroma and cup. Sweet structure with brisk acidity; very full, satiny mouthfeel. The gently drying finish consolidates to notes of hazelnut and fir.",August 2022,$19.95/12 ounces
12,Sumatra Aceh Gayo Mountain Musara Honey Process,93,"Aceh Province, Sumatra, Indonesia",Buon Caffe,"Taipei, Taiwan",Medium-Light,9,8,9,9,60/77,"Spice-toned, richly sweet. White peach, nutmeg, tuberose, cocoa nib, fresh-cut fir in aroma and cup. Sweet structure with gentle, round acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of cocoa nib and peach in the short, with fresh-cut fir and hints of tuberose resurfacing in the long.",August 2022,NT $399/8 ounces
13,Ethiopia Guji Hambela Buku Saysa Natural Process,93,"Guji Zone, Oromia Region, southern Ethiopia",Buon Caffe,"Taipei, Taiwan",Light,9,9,8,9,64/80,"Delicately fruit-toned, gently tart. Dark chocolate, strawberry, jasmine, cedar, pink grapefruit zest in aroma and cup. Sweetly tart structure with juicy acidity; crisp, satiny mouthfeel. Chocolaty, fruit-toned finish, with undertones of cedar.",August 2022,NT $429/8 ounces
14,Ethiopia Durato Bombe,95,"Sidamo growing region, southern Ethiopia",Per’la Specialty Roasters,"Miami, Florida",Light,10,8,9,9,68/92,"Massively floral, juicy, cocoa-toned. Distinct cocoa, honeysuckle, tangerine, caramel, cashew in aroma and cup. Deeply sweet, savory-edged in structure, with deep, vibrant acidity. Full, syrupy mouthfeel. The finish is sweet and rich, carrying most notes from the cup far into the long.",August 2022,$24.00/12 ounces
15,Papua New Guinea Timuza Organic,92,"Eastern Highlands, Papua New Guinea",Magnolia Coffee,"Charlotte, North Carolina",Light,9,8,9,8,64/88,"Balanced, classic, sweetly bright. Blood orange, fresh-cut cedar, almond brittle, quietly complex flowers — freesia, lavender — in aroma and cup. Crisp, sweet-tart structure with smoothly bright acidity. Plush, lightly viscous mouthfeel. Sweet almond and fresh cedar carry the rich, gently drying finish.",August 2022,$17.00/12 ounces
16,Ethiopia Yirgacheffe Kochere,93,"Kochere District, Gedeo Zone, Ethiopia",Cup to Cup Coffee Roasters,"Savannah, Georgia",Medium-Light,9,8,9,9,51/72,"Crisp, spicy, orange-toned. Spice box, black currant, orange, cocoa, a hint of sweet flowers in aroma and cup. Sweet-tart structure with a briskly savory edge; full, plump mouthfeel. Rich and round in the finish",August 2022,$12.00/12 ounces
17,Ethiopia Botabaa,93,"Kochere District, Gedeo Zone, Ethiopia",Evie's Cafe,"Chia-Yi, Taiwan",Medium-Light,9,9,8,9,60/80,"Round, deep, yet delicately lively, sweetly nut-toned. Roasted pistachio, caramel, date, lime, freesia in aroma and cup. Complexly layered structure with light-footed, engaging acidity; lightly satiny mouthfeel. Long, layered finish",August 2022,NT $400/16 ounces
18,Ethiopia Sidama,93,"Mirado Village, Bensa District, Sidama Zone, Ethiopia",Fieldheads Coffee Roasting,"Bigfork, Montana",Medium-Light,9,8,9,9,58/74,"Sweet, crisply brisk, orangy, balanced. Orange, freesia, fresh-cut fir, hints of cocoa nib and molasses. Bittersweet in structure with a sweet but brisk acidity. Lightly syrupy, lifty and lively mouthfeel. Gently but richly drying finish",August 2022,$13.00/12 ounces
