,coffee_title,roaster,coffee_origin_country,coffee_variety,roast_level,description,aroma_desrciptor
0, Nero,Röstraum,"Indonesien, Brasilien, Indien","70% Arabica, Typica, Yellow Bourbon,  30% Robusta",Dunkel,"Wer es gern sehr kräftig, kurz und italienisch mag, liebt diesen Espressoblend. Nach sizilianischem Vorbild, wird dieser Kaffee von Bettina in Vösendorf geröstet. Eine moderne Interpretation eines süditalienischen Espresso! Noten von dunkler Schokolade und gerösteter Haselnuss kommen im Espresso vollmundig und cremig am Gaumen an. ","Kakao, Schokolade"
1, Aurelia,Kanzi Kaffee,"Brasilien, Kolumbien, Indien","60% Arabica, 40% Robusta",Dunkel,"Ein absoluter Klassiker! Wenn man beim Italienurlaub gern auf der ersten italienischen Raststation einen Stop macht, dann könnte man glauben es ist der Aurelia von Kanzi Kaffee in der Mühle. Ein rassig kräftiger Espresso mit Anklängen von Kakao und Schokolade und einer dichten, schön marmorierten Crema. ",Kakao
2, Frühstücksmischung,Alt Wien,"
washed                                    ",Arabica,Mittel,"Perfekt für einen entspannten und unkomplizierten Start in den Tag. Die, in dieser Mischung verwendeten Kaffees, sind mild sowie säurearm und ergeben in Kombination eine angenehme Harmonie. Egal ob als „easy-drinking"" mittelkräftiger Espresso oder als schokoladig säurearmer Filterkaffee, diese Arabicamischung passt super in den Vormittag. ",Kakao
3, Milano,Suchan,"Kenia, Äthiopien, Indien, Nicaragua, Brasilien","95% Arabica, 5% Robusta",Dunkel,"Die Stadt in der norditalienischen Lombardei gibt diesem Blend seinen Namen. Sein runder, gehaltvoller Körper erinnert an einen Italienurlaub. Dieser 95%-ige Arabica-Blend vereint eine kräftige Aromatik aus dem Röstprozess mit einem intensiven Körper und einer eleganten Länge. Ideal auch für den Vollautomat.","Schokolade, Kakao"
4," Estate Coffee, Grower`s Roast",Zalvera,El Salvador,"Arabica, Bourbon, Cuscatleco",Mittel,"An den Hängen des Vulkans Santa Ana, auf einer Höhe von 1200m, im Westen El Salvadors, auf der Finca Lovaina, wachsen diese Bourbon und Cuscatleco Kaffeepflanzen. Die Sträucher stehen im Schutz heimischer Schattenbäume, die tausenden Zugvögeln ein zu Hause bieten, ein sogenannter „shade-grown coffee"". ","Haselnuss, Schokolade"
5, Roma,Stoll,"Brasilien, Kolumbien, Costa Rica, Äthiopien, Indien","68% Arabica, 32% Robusta",Dunkel,"Roma von Stoll ist für alle italienischen Espresso Liebhaber gemacht. Diese Espresso Röstung besteht aus zwei Drittel Arabicas, kombiniert mit einem Drittel indischen Robusta. Die Mischung erzeugt einen voluminösen, kräftigen Espresso mit samtiger Textur der in der Siebträgermaschine wie auch im Vollautomat ein Stückchen Italien in die Tasse bringt.",Kakao
6, Bio Espresso,Suchan,"Nicaragua, Guatemala, Uganda","80% Arabica, 20% Robusta",Dunkel,"Dieser Bio-Blend, mit einem zwanzig prozentigen Anteil an Robustabohnen, aus Uganda hat einen kräftigen Körper mit einer ausgeprägten Fülle am Gaumen und einem angenehm langen schokoladigen Abgang. Ein „klassisch italienisch"", vollmundiger Espresso-Blend. Ideal in der Siebträgermaschine und aus dem ","Kakao, Schokolade"
7, Seven´th Bio,Merchant & Friends,"
washed                                    ","Indonesien, Indien",NaN,"Der Seven'th von Merchant ist ein besonders körperreicher, biologischer Espressoblend, der aber vollmundig rund bleibt und keine Bitterspitzen zeigt. Das gefällt uns sehr gut! Der hohe Robustaanteil bringt eine kräftig cremige Textur. Den Seven'th empfehlen wir als Espresso im Siebträger aber auch im Vollautomat.","Arabica 40, Robsuta 60"
8," Peru, Chanchamayo, Bio",Alt Wien,Peru,"Arabica, Catimor, Typica, Caturra, Catuai",Mittel,"In der Gegend um die Stadt Pichanaqui, in der Provinz Chanchamayo, auf einer Höhe von 1.500 -1800 Metern wächst dieser reinsortige Arabica. Er ist ein angenehm nussiger, leicht fruchtiger, doch kräftiger Single Origin mit einem tollen Walnuss- und Kakaoaroma auf dem Gaumen.","Walnuss, Schokolade"
9," Theobroma Amygdalum, 1001",Rauwolf,"Guatemala, Brasilien, Äthiopien",Arabica,Mittel,"Wie der Name schon sagt, hat der Kaffee etwas mit Schokolade (Theobroma lateinisch für Kakao) zu tun. Aromatisch kann man sich geröstete Kakaobohnen in Kombination mit vollmundigem Kaffee vorstellen. Die Kaffeebohnen für diesen Blend sind Arabicas aus Brasilien, Guatemala und Äthiopien. In der Tasse als Espresso ist er sehr elegant, schokoladig, mittelkräftig mit einer angenehm harmonischen Säure im Abgang. ",Schokolade
10, Freistadt,Suchan,"Brasilien, Costa Rica, Nicaragua, Äthiopien",Arabica,Mittel,"Der Kaffee Freistadt, geröstet von Peter Affenzeller in Freistadt, ist eine gut ausbalancierte, mittelkräftige Arabicamischung für einen würzig schokoladigen Verlängerten oder kräftigen Filterkaffee. Ein fein herber, „kaffeeiger"" Kaffee, ideal für die Zubereitung im Vollautomaten geeignet.","Kakao, würzig"
11," Nocciola, Bio",Süssmund,"Mexiko, Indien","70% Arabica, Bourbon, Caturra, Catuai, Mundo Novo, Typica,  30% Robusta",Mittel,"Der Name Nocciola - übersetzt Haselnuss - passt perfekt für diesen Bio-Blend. Der vollmundige, nicht zu kräftige Körper, die zarten Fruchtnoten, die die satte Haselnussaromatik unterstützen und die schöne Crema, garantieren italienischen Kaffeegenuss auf moderne Art interpretiert. Der Nocciola Organic eignet sich ideal für die Siebträgermaschine, besonders als Cappuccino.","Haselnuss, Milchschokolade"
