,coffee_name,sca_rating,price/kg,coffee_variety,review,review2,roaster,purchase,type
0,"
                4 Llamas Geisha - Bolivien Filter
              ",Score: 90,NaN,Geisha,"
      Mandarine, Grüner Apfel, Jasmin
    ","['Süße: ', 'Himbeer ', 'Schokolade', 'Säure: ', 'Rote ', 'Frucht', 'Mundgefühl: seidig', 'Körper: leicht']",19grams_coffee,https://19grams.coffee/,filter
1,"
                Rockstar Coffee Club
              ",NaN,"
Stückpreis


70,00 €

/
 pro 
kg
          

",NaN,NaN,NaN,19grams_coffee,https://19grams.coffee/,filter
2,"
                Don Martin Geisha Enano - Costa Rica Filter
              ",Score: 91,NaN,Geisha ,"
      Erdbeere, Clementine, Heckenkirsche
    ","['Süße: ', 'Wilderdbeere', 'Säure: ', 'Balsamico', 'Mundgefühl: lebhaft', 'Körper: wild und intensiv']",19grams_coffee,https://19grams.coffee/,filter
3,"
                Fazenda Santuàrio Sul Yirgacheffe - Brasilien Filter
              ",Score: 88,NaN,Yirgacheffe,"
      Blaubeere, Haselnuss, Bergamotte
    ","['Süße: gebrannte ', 'Mandeln', 'Säure: ', 'Weich, erinnert an ', 'Birne', 'Mundgefühl: voll', 'Körper: cremig und nussig ']",19grams_coffee,https://19grams.coffee/,filter
4,"
                El Diviso Sidra - Kolumbien Filter
              ",Score: 89,NaN,Sidra,"
      Aprikose, kandierter Ingwer, Nougat
    ","['Süße: ', 'Säure: ', 'Milchsäure', 'Mundgefühl: ', 'Cremig', 'Körper: ']",19grams_coffee,https://19grams.coffee/,filter
5,"
                Santa Eduviges Laurina - Low Caf Filter
              ",Score: 86,NaN,NaN,"
      Malz, Orange, weiße Schokolade
    ","['Süße: ', 'Keks', 'Säure: mild', 'Mundgefühl: zart', 'Körper: cremig']",19grams_coffee,https://19grams.coffee/,filter
6,"
                Simbi Natural - Ruanda Filter
              ",Score: 88.5,NaN,NaN,"
      Erdbeere, Mango, Ahornsirup
    ","['Süße: ', 'Heidelbeere', 'Säure: ', 'Rote ', 'Beeren', 'Mundgefühl: umhüllend', 'Körper: ', 'Saftig']",19grams_coffee,https://19grams.coffee/,filter
7,"
                Bella Vista - Kolumbien Filter
              ",Score: 87,NaN,NaN,"
      Weiße Schokolade, Mandel, Birne
    ","['Süße: ', 'Milchschokolade', 'Säure: ', 'Birne', 'Mundgefühl: seidig', 'Körper: süß']",19grams_coffee,https://19grams.coffee/,filter
8,"
                La Toma - Kolumbien Filter
              ",Score: 86,NaN,NaN,"
      Honigmelone, Milchschokolade, Orangenblüte
    ","['Süße: ', 'Rohrzucker', 'Säure: saftig-lebendig', 'Mundgefühl: seidig', 'Körper: voll']",19grams_coffee,https://19grams.coffee/,filter
9,"
                La Granada 96h - Kolumbien Filter
              ",Score: 88,NaN,NaN,"
      Karamell, Maracuja, Orange
    ","['Süße: ', 'Orangensaft', 'Säure: zitrusartig und strahlend', 'Mundgefühl: saftig', 'Körper: nachklingend und funkelnd']",19grams_coffee,https://19grams.coffee/,filter
10,"
                Decaf  - entkoffeinierter Kolumbien Filter
              ",NaN,"
Stückpreis


51,60 €

/
 pro 
kg
          

",NaN,"
      Reife Feige, Brauner Zucker, Dunkle Schokolade
    ",NaN,19grams_coffee,https://19grams.coffee/,filter
11,"
                Spring Bloom - Filter Blend
              ",NaN,"
Stückpreis


47,60 €

/
 pro 
kg
          

",NaN,"
      Weiße Schokolade, Melone, Orangenblüten
    ",NaN,19grams_coffee,https://19grams.coffee/,filter
