Name,Currently Brewing,Personal Rating,Company,Origin,Flavors,Single Origin,Notes,Price (250g),Image,Date,Process,Subscriptions,Count
Sitio Tres Baras,checked,,Brew Coffee Plus,Brazil,"Cherry,Chocolate,Complex",checked,,£10.00,2022-09-11 07.37.09.jpg (https://dl.airtable.com/.attachments/e19877b2dc6ab473e865caa7a5b0dc33/bf9408a5/2022-09-1107.37.09.jpg),11.9.2022,Pulped Natural,,1
Bookisa ,checked,,Coaltown,Ethiopia,"Orange,Jasmine honeysuckle,Molasses",checked,,£10.00,2022-09-10 12.27.39.jpg (https://dl.airtable.com/.attachments/4aa8268204b695ad16ac3b223078ef3a/c0f459b5/2022-09-1012.27.39.jpg),10.9.2022,Natural,Coaltown,1
Rafael Amaya ,,3,The Roasting Shed,Colombia,"Cacao nibs,Lychee,Rose petals",checked,"200 hour fermentation, wild flavours!",£15.00,2022-09-04 12.56.24.jpg (https://dl.airtable.com/.attachments/44c73acd1493d8a58427d32a56c37738/a3237161/2022-09-0412.56.24.jpg),1.9.2022,Natural,,1
Finca Bethania,,4,Yallah,Nicaragua,"Tropical,Jammy,Guava,Syrupy-sweet",checked,,£10.00,2022-08-18 09.28.37.jpg (https://dl.airtable.com/.attachments/5e1777a36ac818bfbc951d4afae8d99c/9110ea6d/2022-08-1809.28.37.jpg),18.8.2022,Natural,Yallah Explore,1
Jose Angel Parra,,,Coaltown,Colombia,"Maple syrup,Demerara sugar,Plum",checked,,£10.00,2022-08-13 07.06.47.jpg (https://dl.airtable.com/.attachments/4d0aa25bc1113d50526bbd3a84b834ff/0c55181a/2022-08-1307.06.47.jpg),11.8.2022,Washed,Coaltown,1
Finca Pompeya,,3,Coffee By the Casuals,Peru,"Caramel,Orange,Peach",checked,,£6.80,2022-08-08 21.39.32.jpg (https://dl.airtable.com/.attachments/63430ec1af7cf97282768f7a8a5463d4/0f65e6bd/2022-08-0821.39.32.jpg),8.8.2022,Natural,,1
Toraja ,,2,Yallah,Indonesia,"Tobacco,Pomegranate,Cherry,Red fruit",checked,"Couldn’t grind fine enough, grinder was badl calibrated. Oops ",£12.00,2022-07-22 06.48.15.jpg (https://dl.airtable.com/.attachments/a770f50ca0165ea7a78b3cbc8b929894/7548a03d/2022-07-2206.48.15.jpg),22.7.2022,Semi-washed,Yallah Explore,1
Buki ,,3,Kiss the Hippo,Rwanda,"Red apple,Peach,Strawberry",checked,,£12.50,2022-07-22 06.51.59.jpg (https://dl.airtable.com/.attachments/d2e624ac317f5ea4f2044ee49ad6dac6/f9393393/2022-07-2206.51.59.jpg),22.7.2022,Honey,,1
Roberto Bernardes,,3,St Martins Coffee Roasters,Brazil,"Blood orange,Green apple,Brazil nuts",checked,,£12.00,2022-07-19 09.24.03.jpg (https://dl.airtable.com/.attachments/84ecbdc4e09942703bc259cd36d44596/f47bc1cb/2022-07-1909.24.03.jpg),19.7.2022,Natural,,1
Roberto Ortiz,,3,Coaltown,Peru,"Red apple,Maple syrup,Dark chocolate",checked,,£10.00,2022-07-13 07.46.50.jpg (https://dl.airtable.com/.attachments/3c735858c493ecbc8b535cdc9e49f2cd/a022f007/2022-07-1307.46.50.jpg),13.7.2022,Natural,Coaltown,1
