,coffee_title,coffee_origin,roaster_name,variety,production,roast_level,flavour
0,Peruvian Café Femenino,Peru,Quirky Coffee Co,CaturraBourbonCatuai,Washed,Medium,ChocolateDark ChocolateSweetFloralBerryCherry
1,La-Azucena-Espresso,Colombia,Pact,Castillo,Washed,MediumEspresso,CaramelizedVanilla
2,Filter - Coffee Bundle 4 X 230g,China,Carnival,BourbonRobiaceae CoffeaCatimor / AtengJackson,Washed,LightFilter,CaramelizedHoneyRoseJasmineFloralBlueberryPomegranateGrapeApplePearOrangeLemonLimeFresh
3,Colombia | Finca El Mirador,Rwanda,Roost,Bourbon,Washed,Medium Dark,CocoaMolassesFloral
4,Indian Monsooned Malabar Aa Green Coffee Beans,Ethiopia,Rave,Typica,"Natural, Monsooned",Green,Roasted
5,Brazillian Lo Caff 50% Swiss Water Decaffeinated Arabica Roasted Coffee,Colombia,White Rose,BourbonCatuai,"DecafWashed, Swiss Water",Espresso,NuttyVanillaSweet
6,Organic Dark(ish) Roast,Guatemala,Exhale,Castillo,Washed,LightOmni,CinnamonMaple SyrupVanillaSweetCherryOther Fruit
7,La Pedregosa,India,Pact,Ethiopia / Sudan AssesionGimmaRobiaceae Coffea,Natural,Omni,CherryOther FruitLemon
8,Ethiopia Djimmah,Brazil,Roastery Hope Coffee,Ethiopia / Sudan AssesionColombiaTypicaAcaia,Honey,Espresso,RoastedNutmegFloralCitrus FruitMedicinal
9,Polar Espresso,Mexico,Bristol Twenty,ColombiaArabicaAcaia,"DecafWashed, Swiss Water",Extra DarkOmni,NutmegCinnamonSpicesChocolateSweetCitrus Fruit
10,La Selva (rainforest Alliance),Colombia,Bristol Twenty,Arabica,Washed,Espresso,CocoaCaramelizedSweetCitrus FruitFruity
11,Peru Espresso Roast,Ethiopia,Sendero,ColombiaCaturraTypica,"DecafWashed, Swiss Water",DarkFilter,ChocolateBerry
12,"Eden,  Blend",Colombia,Cast Iron,Ethiopia / Sudan AssesionCaturraMundo NovoBourbonTypicaArabicaCatimor / Ateng,Washed,Extra DarkOmni,RoastedChocolateMolassesCaramelizedHoneyVanillaSweetFruity
13,Guatemala Huehuetenango,India,Naked Roaster,Typica,Washed,DarkEspresso,AlmondNuttyDark ChocolateCocoaSweet
14,Signature Espresso Blend,Ethiopia,Decadent Decaf,CaturraPache ComumBourbonTypica,Washed,MediumEspresso,CocoaVanilla
15,Old Brown Java Arabica Roasted Coffee,Brazil,White Rose,BourbonTypica,Honey,Omni,TobacoSpicesChocolateMaple SyrupWoodyBitter
16,Machu Picchu – Swiss Water Decaf – Nespresso Compatible Pods,Honduras,Bristol Twenty,Caturra,Washed,Omni,PomegranatePineappleOther FruitLemonLimeCitrus FruitFruity
17,Rwanda Agaciro,Colombia,Roastery Hope Coffee,Arabica,"DecafWashed, Swiss Water",Medium,RoastedFruity
18,Colombia Narino Microlot - Finca El Eucalipto,Peru,Roastery Hope Coffee,Castillo,Washed,Omni,ChocolateHoneySweetBerryDried FruitOther FruitFruity
19,Kenya Wanjegi Aa Coffee,Peru,York Emporium,Arabica,Wet Hulled,Omni,VanillaRaspberryLemon
20,"Yenni Esperanza, Colombia, Cata'S Profile",Colombia,Girls Who Grind Coffee,Arabica,Honey,GreenFilter,CerealCinnamonNuttyBrown SugarSweetFloralBlueberryLemonCitrus FruitFruity
21,Brazilian Mió Lot 1930,Guatemala,Wogan Coffee,Colombia,"DecafWashed, Mountain Water",DarkEspresso,NuttyMaple SyrupHoneySweetGrape
22,Phil-Ter:  Blend,Indonesia,Hasbean,ColombiaCaturra,Washed,MediumEspresso,CaramelizedOverall SweetRaspberry
23,House Espresso,Rwanda,Pact,Hybrido de Timor,Washed,LightEspresso,Chocolate
24,"Excelso Decaf, Colombia",Papua New Guinea,Cast Iron,Mundo NovoCatuai,Washed,MediumOmni,ChocolateBrown SugarFruity
25,Mandela Hybrid Washed Colombia,Ethiopia,Cast Iron,Mundo NovoCaturraBourbonTypicaCatuai,Natural,Omni,VanillaSweetPeachLemon
26,Sumatra | Burni Telong,Indonesia,Roost,Arabica,Honey,Medium Dark,PepperSpicesDark ChocolatePruneGrapefruit
27,Brazil | Palmital,Mexico,Roost,Robiaceae Coffea,"DecafWashed, Swiss Water",Green,NuttyCaramelizedSweet
28,Decaf - Mexican Mountain Water,Peru,Roastery Hope Coffee,BourbonRobiaceae CoffeaCatuaiRobusta,Wet Hulled,Omni,RoastedNutty/CocoaBrown SugarVanillaSweetAppleLemon
29,Goodnight Chamomile,Honduras,CLO,CaturraTypicaCatuai,Washed,Medium DarkOmni,ChamomileRose
30,Peru Tunki Coffee,Rwanda,York Emporium,Ethiopia / Sudan AssesionRobiaceae Coffea,Natural,Omni,Dark ChocolateOrange
31,King Canute – Ethiopia,Colombia,Seven Districts,Mundo NovoBourbonArabica,Honey,Medium,SpicesCaramelizedSweetFloralFloralLemonFermentedBitter
32,Green Indonesia Coffee Beans 900g,Kenya,Art & Coffee,CaturraBourbonTypicaArabicaCatuai,Washed,Extra DarkEspresso,RoastedNutty
33,Con Vivo,Colombia,Wogan Coffee,BourbonCatimor / AtengHybrido de Timor,Natural,MediumOmni,CerealNuttyChocolateVanillaSweet
34,Bolivia | San Juan Coop,Brazil,Roost,Arabica,"DecafWashed, Sugarcane (E.A.)",MediumEspresso,Dark ChocolateBerryRaisinCitrus Fruit
35,Ethiopian Yirgacheffe Natural Tadese Teko Arabica Roasted Coffee,Colombia,White Rose,Castillo,Honey,Medium Dark,SpicesOther FruitFruityOverripe
36,Brazilian – Mio – Lot 1990,Colombia,Bristol Twenty,Arabica,Washed,MediumOmni,ChocolateVanillaBerryCherry
37,Guatamala Acatenango,Indonesia,Decadent Decaf,CaturraObataCatuai,Natural,MediumOmni,ChocolateVanillaSweetRaisinOrange
38,Organic Sumatra Mandheling,Brazil,Quirky Coffee Co,ColombiaArabica,Washed,Omni,SpicesChocolateVanillaDried Fruit
39,Premium Coffee Blend (kandinsky),Mexico,Art & Coffee,Topázio,Washed,Medium Dark,NuttyChocolateSweetBerryBitter
40,Mustafa By Ana Mustafa - Colombia Washed,Peru,Chipp Coffee,CastilloColombiaCaturraTypica,Washed,Omni,RoastedVanillaSweetWhiskey
41,Uganda – Bukonzo Dream,Ethiopia,TCC,Yellow Bourbon,"DecafWashed, Swiss Water",LightFilter,CaramelizedHoneyRaspberryGrapefruit
42,Hermosa,Indonesia,Coaltown Coffee,Castillo,Washed,Dark,ChocolateDark ChocolateSweetCitrus Fruit
43,"Daterra, Brazil",Brazil,Cast Iron,Pacamara,Natural,Espresso,ChocolateSweetOther FruitCitrus Fruit
44,Colombia Coffee (rene Magritte),India,Art & Coffee,Ethiopia / Sudan AssesionGimmaRobustaKaffa,Washed,Medium DarkEspresso,Dried FruitPineappleOther FruitWhiskey
45,Brazil Rancho Grande,Ethiopia,Django Coffee Co,CaturraCatuai,Natural,Silly DarkOmni,Dark ChocolateCaramelizedBrown SugarSweetOther FruitOrange
46,"Espresso / Filter - La Estrella, Decaf - Colombia - Dark Chocolate-Apricot-Sweet Mandarin",Bolivia,Carnival,ColombiaCaturra,Natural,Medium,AlmondNuttySweetFloralFloralCitrus Fruit
47,Brazil Ipanema Yellow Bourbon Medium Roast,Ethiopia,Pebble and Pine,TypicaArabicaCatimor / Ateng,Honey,Medium LightOmni,BurntCocoaMolassesMaple SyrupCaramelizedFloralCitrus Fruit
48,Fairtrade Colombian Dark,Brazil,John Watt And Son,PacamaraCatuaiMaragogype,"DecafWashed, Swiss Water",MediumOmni,SweetFloral
49,Finca San Jose,Guatemala,Coaltown Coffee,CaturraBourbon,Washed,Medium,AniseBrown SugarSweet AromaticSweetHerb-likeMusty/Earthy
50,Organic Fairtrade Amharic,Indonesia,Wogan Coffee,ColombiaCaturraBourbonTypicaCatuaiRobusta,Washed,Espresso,NuttyChocolateGrapeFruity
51,Madrigal,Brazil,Coaltown Coffee,Mundo NovoCatucaiCatuaiYellow Bourbon,Washed,Green,VanillaSweetPeachLemon
52,Mandela Hybrid Washed Colombia,Indonesia,Cast Iron,Red Bourbon,"DecafWashed, Swiss Water",Omni,CocoaBrown Sugar
53,Indonesia Sumatra,Colombia,Decadent Decaf,Red Catuai,Natural,Medium,Dark ChocolateCaramelizedHoneySweetCitrus Fruit
54,"Espresso - San Ramon, Nicaragua - Dark Choc - Caramel- Honeycomb",Uganda,Carnival,Castillo,Washed,Espresso,TobacoSmoky
55,High Continental,Costa Rica,John Watt And Son,Arabica,Honey,Omni,Caramelized
56,Fudge Blend Nº 5,Brazil,Rave,Bourbon,Washed,DarkEspresso,CerealNuttyChocolateCaramelizedVanillaSweetFruity
57,Kiln,Colombia,Wogan Coffee,CaturraTypica,"DecafWashed, Sugarcane (E.A.)",Medium,Dark ChocolateMolassesApple
58,Brazil Fazenda Campestre Nº 109,Brazil,Rave,Arabica,Honey,Omni,MolassesCaramelizedRaspberryAppleFresh
59,Rwanda Kirambo,Colombia,Django Coffee Co,BourbonTypicaArushaBlue Mountain,Natural,Medium Dark,SweetAppleOther Fruit
60,Roasters Choice - Costa Rica Honey,Brazil,The Runner Bean Coffee Co,Arabica,Decaf,Medium,Dark ChocolateBrown SugarBlack TeaPomegranateSour
61,Burundi Rotheca Project Guest,Colombia,Decadent Decaf,Colombia,Decaf,Omni,CaramelizedAppleFruity
62,Coffee Of The Month - Joyería,Costa Rica,Perky Blenders,Yellow CatuaiRed Catuai,Honey,DarkFilter,ChocolateVanillaStrawberry
63,Colombia Mustafa,India,Alpaca Coffee,CaturraYellow CatuaiMundo NovoTypicaYellow Bourbon,Washed,Medium DarkEspresso,ChocolateCaramelizedFloralFloralPeach
64,Costa Rica Hermosa - Whole & Ground Roasted Coffee Beans,Ethiopia,Copper,Arabica,Washed,Medium,SweetPineappleCitrus FruitVegetative
65,Burundi Arabica Roasted Coffee,Costa Rica,White Rose,CaturraPache ComumBourbonCatimor / AtengCatuai,Natural,Medium LightEspresso,PeanutsChocolateCitrus Fruit
66,Organic Swiss Water Process Peruvian Decaf,Colombia,Clumsy Goat,Red Catuai,Washed,Medium DarkOmni,Dark ChocolateCaramelizedFloralBerryFruity
67,New Forest Blend,Indonesia,Quirky Coffee Co,Yellow CatuaiCaturraRed Catuai,Natural,Dark,NutmegDark Chocolate
68,Rwanda Coko Coffee,Nicaragua,York Emporium,BourbonCatuai,"DecafWashed, Swiss Water",Dark,Spices
69,Taster Pack – House Edition,Brazil,TCC,Mundo NovoBourbonTypica,Natural,Espresso,MaltRoastedChocolateDark ChocolateSweetOrangeCitrus Fruit
70,Papua New Guinea Lamari Green Coffee Beans,Brazil,Rave,Ethiopia / Sudan AssesionBourbon,Washed,Dark,Roasted
71,500g Mystery Beans!!,Colombia,Foundry Coffee Roasters,Icatu,Natural,MediumOmni,HoneyBrown SugarSweetRaisinDried FruitOther FruitFruity
72,Costa Rica - Don Eli White Honey,India,Horsham,ArabicaCatimor / AtengCatuaiCauvery,Washed,Medium Dark,BerryOrange
73,Kenya: Edition 22.057,Brazil,Hasbean,Mundo NovoCatuai,Natural,Medium DarkOmni,Brown SugarAcetic Acid
74,Galeras Ea Decaffeinated,Rwanda,Colonna,BourbonParainema,"Natural, Monsooned",Dark,PeanutsChocolateCaramelizedPear
75,"Altair & Rodolfo Jastrow, Brazil",Costa Rica,Sunday Coffee,Mundo NovoCaturraPache ComumBourbonTypicaIcatuArabicaObata,Honey,Omni,CerealVanilla
76,Bourbon Cream Espresso,Burundi,Pact,CaturraBourbon,Natural,,HazelnutChocolateCaramelized
77,Decaf Coffee,Colombia,York Emporium,TypicaArabica,"DecafWashed, Solvent T.C.E / M.C.(KVW)",,NuttyCocoaCaramelizedHoneyVanillaSweetJasmineFloralFloralOther FruitFruity
78,Peru G1 Decaf,Colombia,Naked Roaster,Arabica,Honey,,NuttyCaramelizedFloralPeachFruity
79,Peru Finca Pompeya Red Honey Arabica Roasted Coffee,Costa Rica,White Rose,Bourbon,Washed,,ChocolateCaramelizedApple
80,Nicaragua: Edition 22.072,Burundi,Hasbean,BourbonCatuai,Natural,,ChocolateCaramelizedPeach
81,Nicaraguan La Bastilla P3,Peru,Quirky Coffee Co,ColombiaCaturraTypica,,,HoneyFloralBlueberryBerry
82,"Guatemala, Blue Ayarza Natural",Brazil,Wogan Coffee,BourbonTypica,,,NuttyChocolateSweetFloralOther FruitCitrus Fruit
83,Caldera - Mexico,Nicaragua,Dark Arts Coffee,Red Catuai,,,SmokyNuttyMolassesCaramelizedBerryCitrus Fruit
84,Formula 442 – Filter Sachets- 50 X 75g,Rwanda,Bristol Twenty,,,,BurntRoastedNutmegNutty/CocoaCoconutFresh
85,Doghouse Espresso,Uganda,Carringtons Coffee Co,,,,MolassesCaramelizedVanillaSweetRaisinDried FruitOther FruitFruity
86,"Ratnagiri Estate, India Guest",Brazil,Decadent Decaf,,,,HazelnutChocolateCaramelized
87,Brazil Boa Esperança - Whole & Ground Roasted Coffee Beans,Guatemala,Copper,,,,NuttySweetRoseRaspberryFruity
88,"Don Pancho, Honduras",Papua New Guinea,Cast Iron,,,,CinnamonCaramelizedSweetFloralFloralCitrus Fruit
89,Giusto Gusto,Costa Rica,Sollie Box,,,,Chocolate
90,Chatswood Blend Nº 6,Kenya,Rave,,,,NuttyBrown SugarSweetFruity
91,Peru Mishanango Nº 153,Colombia,Rave,,,,SpicesChocolate
92,Gititu Aa,Brazil,Colonna,,,,NuttyCocoaSweetCitrus Fruit
93,Indian Monsoon Malabar Coffee Nº 53,El Salvador,Rave,,,,CaramelizedLime
94,Brazil Coffee (gustav Klimt),Brazil,Art & Coffee,,,,NuttyCocoaSweetCitrus Fruit
95,El Salvador: Edition 22.066,Peru,Hasbean,,,,RoastedChocolateMolassesCaramelizedHoneyVanillaSweetFruity
96,Brazilian Decaf,Peru,Wogan Coffee,,,,AniseMolassesCaramelizedRaspberryPeachOrangeCitrus Fruit
97,"Eden,  Blend",Nicaragua,Cast Iron,,,,ChocolateMolassesCaramelizedCherry
98,Artemis 1 - Colombia,Nicaragua,Dark Arts Coffee,,,,
99,Brazil Natural Fermented,Guatemala,Lincoln Coffee Roasters,,,,
100,Fruit And Nut Espresso,Brazil,Pact,Yellow CatuaiBourbon,Washed,DarkEspresso,NuttyChocolateFruity
101,Kenya Coffee (matisse),Rwanda,Art & Coffee,Arabica,Washed,DarkOmni,SweetFloralOther FruitLimeCitrus FruitFruity
102,Honduras - Coagriscal - Organic,Kenya,Roastery Hope Coffee,LempiraObataCatuai,Washed,Omni,RoastedPepperSpicesCocoaLemon
103,Green Brazil Coffee Beans 900g,Honduras,Art & Coffee,Mundo NovoCaturraBourbonTypicaCatuai,Washed,Green,RoastedNutty
104,Black Gold No3,Brazil,Coaltown Coffee,Villa Sarchi,Natural,Green,CerealRoastedNuttyChocolate
105,Blake: Black Blend,Costa Rica,Hasbean,Bourbon,Honey,Medium Dark,MolassesCaramelizedOther Fruit
106,Blake: Black Blend,El Salvador,Hasbean,CaturraCatuai,Natural,Medium,MolassesCaramelizedOther Fruit
107,Costa Rica: Edition 22.060,Costa Rica,Hasbean,Ethiopia / Sudan Assesion,Washed,Medium Dark,CherryOther FruitOverripe
108,Signature Blend Nº 1,Ethiopia,Rave,CaturraPacasSarchimor,Honey,Green,AlmondChocolateCaramelized
109,Green El Salvador Coffee Beans 900g,El Salvador,Art & Coffee,Maragogype,Natural,Omni,RoastedNutty
110,"New: Costa Rica, Las Lajas (black Honey)",Brazil,Sacred Grounds,Arabica,Natural,Green,VanillaPineappleOther Fruit
111,Ana Suri Guji (ethiopia),Nicaragua,John Watt And Son,Red CaturraRed BourbonYellow Bourbon,Washed,Light,FloralFloralBlueberry
112,El Salvador El Horno - Green Coffee Beans,Kenya,Rave,Robiaceae Coffea,Decaf,Dark,RoastedSweet
113,Nicaraguan Maragogype,Malaysia,Quirky Coffee Co,TypicaCatimor / Ateng,Natural,Medium,Sweet AromaticFloralFloralLemon
114,Topaza Pyra,Costa Rica,Quirky Coffee Co,Colombia,Washed,Omni,SweetBerryFermented
115,Guatemala Buena Vista Concepción Nº 146,Nicaragua,Rave,Robusta,Washed,Extra DarkOmni,FloralFloralRaspberryBerryGrape
116,Organic Fairtrade Ethiopian Lekempte,Guatemala,Wogan Coffee,Pink Bourbon,"DecafNatural, Swiss Water",Green,SpicesMolassesCaramelizedVanillaFloralFloral
117,Llama Mama - Finca El Palto - Peru,Ethiopia,Roastery Hope Coffee,PacasBourbonArabica,Natural,Extra Dark,OrangeCitrus FruitFruity
118,Colombia El Carmen Decaf Green Coffee Beans,Peru,Rave,Ethiopia / Sudan AssesionGesha / Abyssinia,"DecafWashed, Swiss Water",MediumOmni,Roasted
119,Rocket Roast Robusta Coffee Beans,Colombia,Presto,Arabica,Washed,Omni,RoastedDark ChocolateBerryMusty/Earthy
