,coffee_title,roaster,roaster_location,coffee_origin,coffee_region,flavor,purchase
0,Kilenso,Coava,"Portland, Oregon", Ethiopia,['Sidama'],"Lavender, Cantaloupe, Fresh Cream",https://fellowproducts.com/products/coava-ethiopia-kilenso
1,Halo Hartume,Black,"Raleigh, North Carolina", Ethiopia,"['Gedeb', ' Yirgacheffe']","Black Tea, Rose, Dried Berries, Apple",https://fellowproducts.com/products/black-and-white-halo-hartume
2,Karamo,Bird,"San Diego, California", Ethiopia,['Sidama'],"Cherry, Honey Melon, Lime, Brown Sugar",https://fellowproducts.com/products/karamo
3,Suyusama,BRCR,"San Diego, California", Colombia,['Nariño'],"Black Tea, Florals, Yellow Nectarine, Ginger",https://fellowproducts.com/products/suyusama-program
4,Colombia Eduardo Muñoz Tulcan Pink Bourbon,Onyx,"Rogers, Arkansas", Colombia,['Huila'],"Grape, Pineapple, Blackberry Jam, Cherry, Watermelon",https://fellowproducts.com/products/colombia-eduardo-munoz-tulcan-pink-bourbon
5,Colombia Delagua Saul Torres Honey,Brandywine,"Wilmington, Delaware", Colombia,['Sierra Nevada de Santa Marta'],"Melon, Pomegranate, Rose, Macadamia, Dark Honey",https://fellowproducts.com/products/colombia-delagua-saul-torres-honey
6,Ethiopia Kercha Natural,Cat,"Capitola, California", Ethiopia,['Guji'],"Mixed Berries, Florals, Bright Fruit Punch",https://fellowproducts.com/products/ethiopia-kercha-natural
7,Burundi Cumba,BRCR,"San Diego, California", Burundi,['Ngozi Province'],"Whipped Cream, Sugar, Caramel, Tangerine",https://fellowproducts.com/products/cumba
8,Costa Rica Las Lajas Natural,Onyx,"Rogers, Arkansas", Costa Rica,['Sabanilla de Alajuela'],"Plum Wine, Blood Orange, Dried Apricot, Black Cherry",https://fellowproducts.com/products/costa-rica-las-lajas-natural
9,Rwanda Kanzu Lot 17,Brandywine,"Wilmington, Delaware", Rwanda,"['Nyamasheke', ' Western Province']","Sugar, Kiwi, Honey Melon, Butter, Banana, Mandarin",https://fellowproducts.com/products/rwanda-kanzu-washed-lot-17
10,Peñaherrera AAA,BRCR,"San Diego, California", Ecuador,"['Ibarra', ' Imbabura']","Melon, Brown Sugar Cookies, Plum, Cola",https://fellowproducts.com/products/penaherrera-aaa
11,Ethiopia Worka Sakaro Anaerobic Natural,Brandywine,"Wilmington, Delaware", Ethiopia,['Gedeb'],"Sweet Berries, Cherry, Caramel Apple, Bergamot",https://fellowproducts.com/products/ethiopia-worka-sakaro-anaerobic-natural
12,Tres Dragones,BRCR,"San Diego, California", Colombia,"['Caicedonia', ' Valle del Cauca']","Pink Lady Apples, Passionfruit",https://fellowproducts.com/products/tres-dragones
13,Tropical Weather,Onyx,"Rogers, Arkansas", Ethiopia,['Various'],"Mango, Pineapple, Peach Sweet Tea, Floral",https://fellowproducts.com/products/tropical-weather
14,Panama CCD Carolyn Saraceni,Brandywine,"Wilmington, Delaware", Panama,['Boquete'],"Lychee, Watermelon Jolly Rancher, Guava",https://fellowproducts.com/products/panama-carolyn-saraceni-intrinsic-cherry
15,Colombia El Progreso,Brandywine,"Wilmington, Delaware", Colombia,['Huila'],"Gala Apples, Caramel, Bergamot",https://fellowproducts.com/products/colombia-el-progreso-washed
16,S.O. Blend,Coava,"Portland, Oregon", East Africa,['Americas'],"Chocolate, Fruit Aftertaste",https://fellowproducts.com/products/coava-s-o-blend
17,Monarch,Onyx,"Rogers, Arkansas", Colombia,['Ethiopia'],"Dark Chocolate, Dried Cherries, Raspberry, Goji Berries, Molasses",https://fellowproducts.com/products/monarch
18,Guatemala Ayarza Natural,Brandywine,"Wilmington, Delaware", Guatemala,['Laguna de Ayarza'],"Cherry, Strawberry, Confectioners’ Sugar",https://fellowproducts.com/products/guatemala-ayarza-natural
19,Peaceful Peru,Couplet,"Los Angeles, California", Peru,['San Ignacio'],"Peach, Caramel, Dried Cranberry, Lime",https://fellowproducts.com/products/couplet-peaceful-peru
20,Marigold,Queer,"Oakland, California", Honduras,"['Santa Elena', ' La Paz']","Tealike Mouthfeel, Slight Florals, Tangerine",https://fellowproducts.com/products/queer-wave-coffee-marigold
21,Ethiopia Chelbesa Natural,Brandywine,"Wilmington, Delaware", Ethiopia,"['Gedeb District', ' Gedeo Zone']","Mixed Berry Jam, Candyheart Grapes",https://fellowproducts.com/products/ethiopia-chelbesa-natural-12oz
