,title,rating,herkunfstland_röster,röster,land,region,farm,höhenlage,variety,aufbereitung,review_text
0,Ninety Plus Competition Set (Panama),Premium Rarities,italy,gardelli_speciality_coffees,"Silla de Pando, Volcan",1500-1700 masl,Panama,Innovative (secret),March 2020,Geisha,Yuzu Lemon / Loquat / Sidr Honey / YogurtUBO 50g.*Premium Rarities*Cup 
1,"La Siria, Geisha (Colombia)",91.00,italy,gardelli_speciality_coffees,Colombia,Huila,Anibal Sanchez Burbano,1750 - 1900 masl,Geisha,Classic Washed,Lemongrass / Lavender/ Rosemary/ Lime/Mandarine
2,"Inmaculada, Sudan Rume (Colombia)",91.75,italy,gardelli_speciality_coffees,Colombia,Cauca,Julian Holguin Ramos,1900 masl,Sudan Rume,Anaerobic Natural,Vanilla / Mango / Orange / Lychee / Red Grape 
3,Francis Kipsang (Uganda),91.00,italy,gardelli_speciality_coffees,Uganda,Sipi Falls,Francis Kipsang,1900 - 2000 masl,SL28,Gardelli Orange,Elder Flower/ Mango/ Peach/Pear / Kiwi
4,Hassan Al Amer (Yemen),90.50,italy,gardelli_speciality_coffees,Yemen,Haraz,Hassan Al Amer,2520 masl,Yemen heirlooms,Anaerobic Natural,Rose/ Chamomile/ Hibiscus/ Blood Orange/ Cloves
5,"La Roca, Geisha Lot (Colombia)",88.75,italy,gardelli_speciality_coffees,Colombia,Tolima,Jorge Rojas,1900 masl,Geisha,Anaerobic Washed,Jasmine / Lemon /Honey / Peach/ Toffee
6,"Mzungu Project, 20/21 crop (Uganda)",91.00,italy,gardelli_speciality_coffees,Uganda,Sipi falls,Francis Kipsang,1900-2000 masl,SL28,Gardelli Red,Cherry / Dark Chocolate / Blackberry / Prune
7,"Finca Villa Esperanza, Pacamara (Colombia)",88.50,italy,gardelli_speciality_coffees,Colombia,Huila,Jesus Morales Samora,1750 masl,Pacamara,Classic Washed,Orange Blossom/ Apricot/ Lemon / Coconut /Brown Sugar
8,Wosasa (Ethiopia),89.00,italy,gardelli_speciality_coffees,Ethiopia,Guji,Several Small Farmers,2100-2350 masl,Ethiopia Heirlooms,Classic Natural,Jasmine / Blueberry/ Rhubarb/ Almond/ Milk Chocolate
9,"Duwancho, Lot 22/02 (Ethiopia)",89.00,italy,gardelli_speciality_coffees,Ethiopia,Sidama,Several Small Farmers,2100-2200 masl,Ethiopia Heirlooms,Classic Natural,Orange/ Pineapple/ Lime / Peach
10,"Kirambo, Lot 17 (Rwanda)",88.75,italy,gardelli_speciality_coffees,Rwanda,Nyamasheke,Several small farmers,1700 masl,Red Bourbon,Classic Natural,Hibiscus /Blood Orange / Plum /Mango
11,El Silencio (Colombia),88.25,italy,gardelli_speciality_coffees,Colombia,Cauca,Robinson Rivera,1700 - 1850 masl,Castillo,Anaerobic Natural,Watermelon / Cherry /Mango / Pomegranate/ Dark Chocolate
12,El Eucalipto (Peru),88.00,italy,gardelli_speciality_coffees,Peru,Cajamarca,Yoner Celis Guerrero,1700 masl,Caturra,Classic Washed,Apple / Toffee / Gooseberry / Maple Syrup
13,Finca El Vergel (Colombia),87.75,italy,gardelli_speciality_coffees,Colombia,Tolima,Elias & Shady Bayter,1450 masl,Caturra,Classic Washed,Green Apple/ Honey/ Orange/ Marzipan
14,Cignobianco® signature blend,85.00,italy,gardelli_speciality_coffees,Santa Rosa / Yirgacheffe,1400-1900 masl,Guatemala / Ethiopia,Natural / Washed,GrainPro bags,Caturra / Ethiopia Heirlooms,Milk Chocolate / Almond / Yellow Plum / Caramel
15,Villamaria Decaffeinated (Colombia),87.50,italy,gardelli_speciality_coffees,Colombia,Caldas,Several Small Farmers,1800 masl,Colombia & Castillo Naranjal,Classic Natural,Brown Sugar / Guava / Honey/ Cocoa
16,Cascara Coffee Cherry Tea from Finca Bella Vista (Guatemala),Pablo Arturo Chuy Flores,italy,gardelli_speciality_coffees,1600-2000 masl,Special Natural,Ayarza Lake,Geisha,September 2021,Jan-Mar 2021,Honey / Raspberry / Apricot / Orange
