,coffee_title,roaster,coffee_origin,variety,ideal_for,production,flavor,purchase
0,CHIAPAS Kaffee Gemahlen,Happy Coffee,"Kooperative UCANOCH, Chiapas (Mexiko)","Caturra, Bourbon, Tipica","Filterkaffeemaschine, Handfilter, French Press","Handgepflückt, gewaschen, sonnengetrocknet","Milchschokolade, mild, weich, minimale Säure",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
1,VOLCANO Natural Kaffeebohnen (limitiert),Happy Coffee,"Volcan Azul, Senor Castro Kahle (Costa Rica)",Red Caturra,Handfilter bzw. gute Filterkaffeemaschine oder Cold Brew / Cold Drip,Natural,"Sauerkirsche, Beerenaromen, leichte Zitrusnoten, superfruchtig",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
2,SIDAMO Kaffeebohnen,Happy Coffee,"Kooperative Sidama Coffee Farmers
Cooperative Union SCFCU, Sidamo (Äthiopien)",einheimische Varietäten,"Filterkaffee, French Press, Cold Brew","Handgepflückt, gewaschen, sonnengetrocknet","Rote Beeren, Zitrusnoten, süßlich, kräftig-würzig",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
3,SIDAMO Kaffee Gemahlen,Happy Coffee,"Kooperative Sidama Coffee Farmers
Cooperative Union SCFCU, Sidamo (Äthiopien)",einheimische Varietäten,"Filterkaffee, French Press, Cold Brew","Handgepflückt, gewaschen, sonnengetrocknet","Rote Beeren, Zitrusnoten, süßlich, kräftig-würzig",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
4,SIDAMO Espressobohnen,Happy Coffee,"Kooperative Sidama Coffee Farmers
Cooperative Union SCFCU, Sidamo (Äthiopien)",einheimische Varietäten,"Siebträger, Kaffeevollautomat","Handgepflückt, gewaschen, sonnengetrocknet","Rote Beeren, Zitrusnoten, süßlich, kräftig-würzig",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
5,SĀO SILVESTRE Natural Kaffeebohnen (limitiert),Happy Coffee,"Fazenda São Silvestre, Ismael Andrade (Cerrado, Brasilien)
",Yellow Catui,Handfilter bzw. gute Filterkaffeemaschine oder als Cold Brew / Cold Drip,Natural – Anaerobe Fermentation,"Papaya, Guave, Pflaume. Leichte Zitrussäure",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
6,ROBUSTA Espressobohnen,Happy Coffee,"Finca Santa Anita, Chiapas (Mexiko)",Canephora,"Siebträger, Kaffeevollautomat, Espressokocher","Handgepflückt, sonnengetrocknet","Kakao, Whiskey, kräftig, vollmundig",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
7,PUNO Kaffeebohnen,Happy Coffee,"Kooperative Cecovasa, Puno-Sandia (Peru)","Geisha, Bourbon, Typica","Filterkaffeemaschine, Handfilter, French Press","Handgepflückt, gewaschen, sonnengetrocknet","Gelbe Früchte, blumige Säure, nussig, würzig",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
8,PUNO Kaffee Gemahlen,Happy Coffee,"Kooperative Cecovasa, Puno-Sandia (Peru)","Geisha, Bourbon, Typica","Filterkaffeemaschine, Handfilter, French Press","Handgepflückt, gewaschen, sonnengetrocknet","Gelbe Früchte, blumige Säure, nussig, würzig",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
9,PUNO Espressobohnen,Happy Coffee,"Kooperative Cecovasa, Puno-Sandia (Peru)","Geisha, Bourbon, Typica","Siebträger, Kaffeevollautomat, Espressokocher","Handgepflückt, gewaschen, sonnengetrocknet","Gelbe Früchte, blumige Säure, nussig, würzig",https://www.happycoffee.org/produkt/cafe-creme-kaffeevollautomaten/
